anon_id,anon_ip,collection_order,gateway_port,active_target,preferred_url,scanner_input_target,product_confidence,passive_family,passive_family_confidence,top_version,top_version_confidence,top_version_exact,mdns_version,mdns_service_types,mdns_product_markers,mdns_instance_names,country,org,shodan_module,shodan_port,honeypot_probable,proxy_detected,vulnerability_count,public_ip
gw-0015,192.0.2.15,15,18789,192.0.2.15:18789,https://192.0.2.15:18789,192.0.2.15:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0015-instance-1,ID,provider-0012,mdns,5353,False,False,0,192.0.2.15
gw-0016,192.0.2.16,16,18789,192.0.2.16:18789,https://192.0.2.16:18789,192.0.2.16:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0016-instance-1,VN,provider-0013,mdns,5353,False,False,0,192.0.2.16
gw-0017,192.0.2.17,17,18789,192.0.2.17:18789,https://192.0.2.17:18789,192.0.2.17:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0017-instance-1,ID,provider-0014,mdns,5353,False,False,0,192.0.2.17
gw-0018,192.0.2.18,18,18789,192.0.2.18:18789,https://192.0.2.18:18789,192.0.2.18:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0018-instance-1,VN,provider-0015,mdns,5353,False,False,0,192.0.2.18
gw-0019,192.0.2.19,19,18789,192.0.2.19:18789,https://192.0.2.19:18789,192.0.2.19:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0019-instance-1,US,provider-0016,mdns,5353,False,False,0,192.0.2.19
gw-0020,192.0.2.20,20,18789,192.0.2.20:18789,https://192.0.2.20:18789,192.0.2.20:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0020-instance-1,US,provider-0016,mdns,5353,False,False,0,192.0.2.20
gw-0021,192.0.2.21,21,18789,192.0.2.21:18789,https://192.0.2.21:18789,192.0.2.21:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0021-instance-1,US,provider-0016,mdns,5353,False,False,0,192.0.2.21
gw-0022,192.0.2.22,22,18789,192.0.2.22:18789,https://192.0.2.22:18789,192.0.2.22:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0022-instance-1,US,provider-0017,mdns,5353,False,False,0,192.0.2.22
gw-0023,192.0.2.23,23,18789,192.0.2.23:18789,https://192.0.2.23:18789,192.0.2.23:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0023-instance-1,US,provider-0018,mdns,5353,False,False,0,192.0.2.23
gw-0024,192.0.2.24,24,18789,192.0.2.24:18789,https://192.0.2.24:18789,192.0.2.24:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0024-instance-1,US,provider-0019,mdns,5353,False,False,0,192.0.2.24
gw-0025,192.0.2.25,25,18789,192.0.2.25:18789,https://192.0.2.25:18789,192.0.2.25:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0025-instance-1,JP,provider-0020,mdns,5353,False,False,0,192.0.2.25
gw-0026,192.0.2.26,26,18789,192.0.2.26:18789,https://192.0.2.26:18789,192.0.2.26:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0026-instance-1,US,provider-0021,mdns,5353,False,False,0,192.0.2.26
gw-0027,192.0.2.27,27,18790,192.0.2.27:18790,http://192.0.2.27:18790,192.0.2.27:18790,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0027-instance-1,US,provider-0016,mdns,5353,False,False,0,192.0.2.27
gw-0028,192.0.2.28,28,18789,192.0.2.28:18789,https://192.0.2.28:18789,192.0.2.28:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0028-instance-1,FI,provider-0022,mdns,5353,False,False,0,192.0.2.28
gw-0029,192.0.2.29,29,60586,192.0.2.29:60586,http://192.0.2.29:60586,192.0.2.29:60586,0.55,,,,,False,,,,,JP,provider-0023,mdns,60586,False,False,0,192.0.2.29
gw-0030,192.0.2.30,30,18789,192.0.2.30:18789,https://192.0.2.30:18789,192.0.2.30:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0030-instance-1,CN,provider-0024,mdns,5353,False,False,0,192.0.2.30
gw-0031,192.0.2.31,31,14986,192.0.2.31:14986,http://192.0.2.31:14986,192.0.2.31:14986,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0031-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.31
gw-0032,192.0.2.32,32,20772,192.0.2.32:20772,http://192.0.2.32:20772,192.0.2.32:20772,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0032-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.32
gw-0033,192.0.2.33,33,20772,192.0.2.33:20772,http://192.0.2.33:20772,192.0.2.33:20772,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0033-instance-1,CN,provider-0025,mdns,5353,False,False,0,192.0.2.33
gw-0034,192.0.2.34,34,18789,192.0.2.34:18789,https://192.0.2.34:18789,192.0.2.34:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0034-instance-1,HK,provider-0026,mdns,5353,False,False,0,192.0.2.34
gw-0035,192.0.2.35,35,18789,192.0.2.35:18789,https://192.0.2.35:18789,192.0.2.35:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0035-instance-1,US,provider-0026,mdns,5353,False,False,0,192.0.2.35
gw-0036,192.0.2.36,36,18789,192.0.2.36:18789,https://192.0.2.36:18789,192.0.2.36:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0036-instance-1,US,provider-0027,mdns,5353,False,False,0,192.0.2.36
gw-0037,192.0.2.37,37,18789,192.0.2.37:18789,https://192.0.2.37:18789,192.0.2.37:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0037-instance-1,US,provider-0028,mdns,5353,False,False,0,192.0.2.37
gw-0038,192.0.2.38,38,18789,192.0.2.38:18789,https://192.0.2.38:18789,192.0.2.38:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0038-instance-1,US,provider-0029,mdns,5353,False,False,0,192.0.2.38
