anon_id,anon_ip,collection_order,gateway_port,active_target,preferred_url,scanner_input_target,product_confidence,passive_family,passive_family_confidence,top_version,top_version_confidence,top_version_exact,mdns_version,mdns_service_types,mdns_product_markers,mdns_instance_names,country,org,shodan_module,shodan_port,honeypot_probable,proxy_detected,vulnerability_count,public_ip,active_rank,active_priority_score,active_probe_target,active_probed_base,active_product_confidence,active_reachable_status_count,active_has_signal,active_status_distribution_signature,active_status_counts,active_fingerprint_match_count,active_fingerprint_rules,active_matched_version_count,active_matched_versions,active_has_exact_version_match,active_vulnerability_count,active_proxy_detected,active_honeypot_probable,active_observation_count,active_error_count,active_first_error
gw-0264,198.51.100.10,264,18789,198.51.100.10:18789,https://198.51.100.10:18789,198.51.100.10:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0264-instance-1,DE,provider-0118,mdns,5353,False,False,0,198.51.100.10,,,,,,,False,,,,,,,,,,,,,
gw-0265,198.51.100.11,265,18789,198.51.100.11:18789,https://198.51.100.11:18789,198.51.100.11:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0265-instance-1,DE,provider-0118,mdns,5353,False,False,0,198.51.100.11,,,,,,,False,,,,,,,,,,,,,
gw-0266,198.51.100.12,266,18789,198.51.100.12:18789,https://198.51.100.12:18789,198.51.100.12:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0266-instance-1,DE,provider-0124,mdns,5353,False,False,0,198.51.100.12,,,,,,,False,,,,,,,,,,,,,
gw-0267,198.51.100.13,267,18789,198.51.100.13:18789,https://198.51.100.13:18789,198.51.100.13:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0267-instance-1,CN,provider-0125,mdns,5353,False,False,0,198.51.100.13,,,,,,,False,,,,,,,,,,,,,
gw-0268,198.51.100.14,268,18789,198.51.100.14:18789,https://198.51.100.14:18789,198.51.100.14:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0268-instance-1,CN,provider-0125,mdns,5353,False,False,0,198.51.100.14,,,,,,,False,,,,,,,,,,,,,
gw-0269,198.51.100.15,269,48083,198.51.100.15:48083,http://198.51.100.15:48083,198.51.100.15:48083,0.55,,,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0269-instance-1,CN,provider-0126,mdns,5353,False,False,0,198.51.100.15,,,,,,,False,,,,,,,,,,,,,
gw-0270,198.51.100.16,270,18789,198.51.100.16:18789,https://198.51.100.16:18789,198.51.100.16:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0270-instance-1,US,provider-0028,mdns,5353,False,False,0,198.51.100.16,,,,,,,False,,,,,,,,,,,,,
gw-0271,198.51.100.17,271,18789,198.51.100.17:18789,https://198.51.100.17:18789,198.51.100.17:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0271-instance-1,US,provider-0127,mdns,5353,False,False,0,198.51.100.17,,,,,,,False,,,,,,,,,,,,,
gw-0272,198.51.100.18,272,18789,198.51.100.18:18789,https://198.51.100.18:18789,198.51.100.18:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0272-instance-1,US,provider-0028,mdns,5353,False,False,0,198.51.100.18,,,,,,,False,,,,,,,,,,,,,
gw-0273,198.51.100.19,273,18789,198.51.100.19:18789,https://198.51.100.19:18789,198.51.100.19:18789,0.55,openclaw_mdns_gateway_advertisement,0.94,,,False,,_openclaw-gw._tcp.local,openclaw;openclaw-gw,gw-0273-instance-1,HK,provider-0128,mdns,5353,False,False,0,198.51.100.19,,,,,,,False,,,,,,,,,,,,,
