anon_id,anon_ip,collection_order,input_target,source,discovery_confidence,discovery_sources,passive_http_title,passive_http_status,shodan_module,shodan_product,shodan_query_id,product_confidence,family_match_count,top_family,matched_version_count,top_version,exact_version_count,vulnerability_count,status_distribution_signature
gw-0190,192.0.2.190,191,192.0.2.190:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0191,192.0.2.191,192,192.0.2.191:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0192,192.0.2.192,193,192.0.2.192:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0193,192.0.2.193,194,192.0.2.193:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0194,192.0.2.194,195,192.0.2.194:80,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0195,192.0.2.195,196,192.0.2.195:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0196,192.0.2.196,197,192.0.2.196:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0197,192.0.2.197,198,192.0.2.197:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0198,192.0.2.198,199,192.0.2.198:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0199,192.0.2.199,200,192.0.2.199:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0200,192.0.2.200,201,192.0.2.200:8080,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0201,192.0.2.201,202,192.0.2.201:30002,shodan,0.82,favicon_hash:-299287097;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0202,192.0.2.202,203,192.0.2.202:3100,shodan,0.82,http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0203,192.0.2.203,204,192.0.2.203:12136,shodan,0.82,http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0204,192.0.2.204,205,192.0.2.204:12328,shodan,0.82,favicon_hash:899457975;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,D-Link webcam http interface,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0205,192.0.2.205,206,192.0.2.205:3006,shodan,0.82,favicon_hash:1924358485;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0206,192.0.2.206,207,192.0.2.206:18053,shodan,0.82,favicon_hash:362091310;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,Ivanti Endpoint Manager Mobile (EPMM),,1.0,0,,2,2024.6.1,0,0,200:1
gw-0207,192.0.2.207,208,192.0.2.207:12229,shodan,0.82,favicon_hash:1089670315;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0208,192.0.2.208,209,192.0.2.208:8170,shodan,0.82,favicon_hash:-299287097;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0209,192.0.2.209,210,192.0.2.209:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0210,192.0.2.210,211,192.0.2.210:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0211,192.0.2.211,212,192.0.2.211:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0212,192.0.2.212,213,192.0.2.212:18093,shodan,0.82,favicon_hash:362091310;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,Ivanti Endpoint Manager Mobile (EPMM),,1.0,0,,2,2024.6.1,0,0,200:1
gw-0213,192.0.2.213,214,192.0.2.213:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0214,192.0.2.214,215,192.0.2.214:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0215,192.0.2.215,216,192.0.2.215:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0216,192.0.2.216,217,192.0.2.216:80,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0217,192.0.2.217,218,192.0.2.217:80,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0218,192.0.2.218,219,192.0.2.218:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0219,192.0.2.219,220,192.0.2.219:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0220,192.0.2.220,221,192.0.2.220:25105,shodan,0.82,favicon_hash:444712798;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0221,192.0.2.221,222,192.0.2.221:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0222,192.0.2.222,223,192.0.2.222:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0223,192.0.2.223,224,192.0.2.223:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
