anon_id,anon_ip,active_rank,mode,input_target,probed_base,responsive,has_signal,product_confidence,family_match_count,top_family,matched_version_count,top_version,exact_version_count,vulnerability_count,status_distribution_signature,observation_count,error_count,first_error
gw-0112,192.0.2.112,18,default,192.0.2.112:443,https://192.0.2.112:443,True,True,0.8500000000000001,1,openclaw_spa_fallback_all_200,0,,0,0,200:38,38,0,
gw-0116,192.0.2.116,19,default,192.0.2.116:80,http://192.0.2.116:80,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,101:2;200:17;404:19,38,0,
gw-0117,192.0.2.117,20,default,192.0.2.117:443,https://192.0.2.117:443,True,False,0.9500000000000001,0,,0,,0,0,200:19;404:19,38,0,
gw-0135,192.0.2.135,21,default,192.0.2.135:443,https://192.0.2.135:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,1,2026.5.28,1,0,200:19;404:19,38,0,
gw-0138,192.0.2.138,22,default,192.0.2.138:443,https://192.0.2.138:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0139,192.0.2.139,23,default,192.0.2.139:18789,http://192.0.2.139:18789,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:15;401:2;404:19,38,40,https://192.0.2.139:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0151,192.0.2.151,24,default,192.0.2.151:443,https://192.0.2.151:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,101:2;200:17;404:19,38,0,
gw-0153,192.0.2.153,25,default,192.0.2.153:443,http://192.0.2.153:443,True,False,0.0,0,,0,,0,0,,38,76,https://192.0.2.153:443 /: timed out
gw-0156,192.0.2.156,26,default,192.0.2.156:443,https://192.0.2.156:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,101:2;200:17;404:19,38,0,
gw-0158,192.0.2.158,27,default,192.0.2.158:18789,http://192.0.2.158:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.28,1,0,200:17;404:19,38,40,https://192.0.2.158:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0170,192.0.2.170,28,default,192.0.2.170:443,https://192.0.2.170:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0171,192.0.2.171,29,default,192.0.2.171:443,https://192.0.2.171:443,True,True,0.9500000000000001,1,openclaw_spa_fallback_all_200,0,,0,0,200:38,38,0,
gw-0174,192.0.2.174,30,default,192.0.2.174:443,https://192.0.2.174:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0176,192.0.2.176,31,default,192.0.2.176:443,https://192.0.2.176:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0181,192.0.2.181,32,default,192.0.2.181:18789,http://192.0.2.181:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,40,https://192.0.2.181:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0184,192.0.2.184,33,default,192.0.2.184:443,https://192.0.2.184:443,True,False,0.9500000000000001,0,,0,,0,0,200:19;404:19,38,0,
gw-0185,192.0.2.185,34,default,192.0.2.185:443,https://192.0.2.185:443,True,False,0.9500000000000001,0,,0,,0,0,200:15;404:17,38,6,https://192.0.2.185:443 /: The read operation timed out
gw-0188,192.0.2.188,35,default,192.0.2.188:443,https://192.0.2.188:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0189,192.0.2.189,36,default,192.0.2.189:443,https://192.0.2.189:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0190,192.0.2.190,37,default,192.0.2.190:443,https://192.0.2.190:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0192,192.0.2.192,38,default,192.0.2.192:443,https://192.0.2.192:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0201,192.0.2.201,39,default,192.0.2.201:30002,http://192.0.2.201:30002,True,True,0.30000000000000004,0,,1,2023.11.3,1,32,200:35;400:2;404:1,38,0,
gw-0206,192.0.2.206,40,default,192.0.2.206:18053,http://192.0.2.206:18053,True,True,0.30000000000000004,0,,1,2023.11.3,1,32,200:35;400:2;404:1,38,0,
gw-0209,192.0.2.209,41,default,192.0.2.209:18789,http://192.0.2.209:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.7,1,0,200:17;404:19,38,40,https://192.0.2.209:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0213,192.0.2.213,42,default,192.0.2.213:18789,http://192.0.2.213:18789,True,False,0.0,0,,0,,0,0,,38,76,https://192.0.2.213:18789 /: timed out
gw-0221,192.0.2.221,43,default,192.0.2.221:443,https://192.0.2.221:443,True,False,0.8500000000000001,0,,0,,0,0,200:19;404:19,38,0,
gw-0223,192.0.2.223,44,default,192.0.2.223:443,https://192.0.2.223:443,True,False,0.8500000000000001,0,,0,,0,0,200:19;404:19,38,0,
gw-0228,192.0.2.228,45,default,192.0.2.228:443,https://192.0.2.228:443,True,True,0.8500000000000001,1,openclaw_spa_fallback_all_200,0,,0,0,200:38,38,0,
gw-0249,192.0.2.249,46,default,192.0.2.249:18789,http://192.0.2.249:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.7,1,0,200:17;404:19,38,40,https://192.0.2.249:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0250,192.0.2.250,47,default,192.0.2.250:443,https://192.0.2.250:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.22,1,0,101:2;200:17;404:19,38,0,
gw-0257,198.51.100.3,48,default,198.51.100.3:443,https://198.51.100.3:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0258,198.51.100.4,49,default,198.51.100.4:443,https://198.51.100.4:443,True,True,0.9500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0259,198.51.100.5,50,default,198.51.100.5:443,https://198.51.100.5:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.28,1,0,101:2;200:16;404:20,38,0,
gw-0261,198.51.100.7,51,default,198.51.100.7:443,https://198.51.100.7:443,True,False,0.8500000000000001,0,,0,,0,0,101:2;200:1;404:35,38,0,
gw-0264,198.51.100.10,52,default,198.51.100.10:18789,http://198.51.100.10:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,40,https://198.51.100.10:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
gw-0273,198.51.100.19,53,default,198.51.100.19:443,https://198.51.100.19:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,1,2026.5.28,1,0,101:2;200:17;404:19,38,0,
gw-0278,198.51.100.24,54,default,198.51.100.24:443,https://198.51.100.24:443,True,True,0.8500000000000001,1,openclaw_spa_fallback_all_200,0,,0,0,200:38,38,0,
gw-0283,198.51.100.29,55,default,198.51.100.29:443,https://198.51.100.29:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0290,198.51.100.36,56,default,198.51.100.36:443,https://198.51.100.36:443,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:19;404:19,38,0,
gw-0292,198.51.100.38,57,default,198.51.100.38:18789,http://198.51.100.38:18789,True,True,0.8500000000000001,1,openclaw_ui_only_404_api,0,,0,0,200:17;404:19,38,40,https://198.51.100.38:18789 /: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1081)
